中文　英文
我　I
你　you　(singular)
他　he
我们　we
你们　you　(plural)
他们　they
这　this
那　that
这里　here
那里　there
谁　who
什么　what
哪　where
何时　when
如何　how
不　not
所有　all
多　many
一些　some
少　few
其他　other
一　one
二　two
三　three
四　four
五　five
大　big
长　long
宽　wide
厚　thick
重　heavy
小　small
短　short
窄　narrow
薄　thin
女　woman
男　man　(adult male)
人　Man　(human being)
孩　child
妻　wife
夫　husband
母　mother
父　father
动物　animal
鱼　fish
鸟　bird
狗　dog
虱　louse
蛇　snake
虫　worm
树　tree
森　forest
棍　stick
果　fruit
种　seed
叶　leaf
根　root
树皮　bark
花　flower
草　grass
绳　rope
肤　skin
肉　meat
血　blood
骨　bone
脂　fat　(n.)
蛋　egg
角　horn
尾　tail
羽　feather
发　hair
头　head
耳　ear
眼　eye
鼻　nose
口　mouth
牙　tooth
舌　tongue
指甲　fingernail
脚　foot
腿　leg
膝　knee
手　hand
翅　wing
腹　belly
肠　guts
颈　neck
背　back
乳　breast
心　heart
肝　liver
喝　drink
吃　eat
咬　bite
吸　suck
吐　spit
呕　vomit
吹　blow
呼吸　breathe
笑　laugh
看　see
听　hear
知　know
想　think
嗅　smell
怕　fear
睡　sleep
住　live
死　die
杀　kill
斗　fight
猎　hunt
击　hit
切　cut
分　split
刺　stab
挠　scratch
挖　dig
游　swim
飞　fly　(v.)
走　walk
来　come
躺　lie
坐　sit
站　stand
转　turn
落　fall
给　give
拿　hold
挤　squeeze
磨　rub
洗　wash
擦　wipe
拉　pull
推　push
扔　throw
系　tie
缝　sew
计　count
说　say
唱　sing
玩　play
浮　float
流　flow
冻　freeze
肿　swell
日　sun
月　moon
星　star
水　water
雨　rain
河　river
湖　lake
海　sea
盐　salt
石　stone
沙　sand
尘　dust
地　earth
云　cloud
雾　fog
天　sky
风　wind
雪　snow
冰　ice
烟　smoke
火　fire
灰　ashes
烧　burn
路　road
山　mountain
红　red
绿　green
黄　yellow
白　white
黑　black
夜　night
白天　day
年　year
温　warm
冷　cold
满　full
新　new
旧　old
好　good
坏　bad
腐　rotten
脏　dirty
直　straight
圆　round
尖　sharp
钝　dull
滑　smooth
湿　wet
干　dry
对　correct
近　near
远　far
右　right
左　left
在　at
里　in
与　with
和　and
若　if
因　because
名　name
